id,bookname,category,genre,author,publisher,yearpublished,isbn,edition,price
72,"Are You There, Vodka? It's Me, Chelsea", fiction,,Chelsea Handler,Hachette Book Group,2007,,,3.99
73,Jonathan Livingston Seagull, fiction,,"Richard Bach, Russell Munson","Amazon Digital Services,  Inc.",1970,,,4.99
74,City of Heavenly Fire, fiction,,Cassandra Clare,"Amazon Digital Services,  Inc.",2014,,,4.99
75,Love You Forever, fiction,,"Robert Munsch, Sheila McGraw","Amazon Digital Services,  Inc.",1986,,,0.99
76,Cell, fiction,,Stephen King,HarperCollins Publishers,2006,,,4.54
77,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics, fiction,,Daniel James Brown,Hachette Book Group,2013,,,6.49
78,The Silmarillion, fiction,,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",Random House LLC,1977,,,4.99
79,The Drawing of the Three,nonfiction,,Stephen King,HarperCollins Publishers,1987,,,1.99
80,The Forgotten Garden, fiction,,Kate Morton,"Amazon Digital Services,  Inc.",2008,,,3.99
81,Der ProzeÃŸ, fiction,,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod","Amazon Digital Services,  Inc.",1925,,,0.99
82,This Lullaby, fiction,,Sarah Dessen,HarperCollins Publishers,2002,,,1.99
83,Plain Truth, fiction,,Jodi Picoult,"Amazon Digital Services,  Inc.",2000,,,0.99
84,Orange Is the New Black: My Year in a Women's Prison,fiction,,Piper Kerman,"Amazon Digital Services,  Inc.",2010,,,1.99
85,The Hound of the Baskervilles, fiction,,"Arthur Conan Doyle, Anne Perry",Macmillan,1902,,,1.99
86,"Thinking, Fast and Slow", fiction,,Daniel Kahneman,"Amazon Digital Services,  Inc.",2011,,,0.99
87,The Mists of Avalon, fiction,,Marion Zimmer Bradley,"Amazon Digital Services,  Inc.",1982,,,0.99
88,"Are You There God? It's Me, Margaret", fiction,,Judy Blume,"Amazon Digital Services,  Inc.",1970,,,0.99
89,Nights in Rodanthe, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2002,,,4.99
90,Mr. Mercedes, fiction,,Stephen King,Macmillan,2014,,,1.99
91,All Together Dead, fiction,,Charlaine Harris,Random House LLC,2007,,,6.49
92,Midwives, fiction,,Chris Bohjalian,Random House LLC,1997,,,6.49
93,The Polar Express,nonfiction,,Chris Van Allsburg,"Amazon Digital Services,  Inc.",1985,,,0.99
94,The True Story of the Three Little Pigs, fiction,,"Jon Scieszka, Lane Smith","Amazon Digital Services,  Inc.",1989,,,0.99
95,Patriot Games, fiction,,Tom Clancy,"Amazon Digital Services,  Inc.",1987,,,5.99
96,Veronika decide morrer, fiction,,"Paulo Coelho, Margaret Jull Costa",Penguin Group (USA) LLC,1998,,,6.83
97,"Lean In: Women, Work, and the Will to Lead", fiction,,"Sheryl Sandberg, Nell Scovell","Amazon Digital Services,  Inc.",2013,,,0.99
98,Dead as a Doornail , fiction,,Charlaine Harris,Penguin Group (USA) LLC,2005,,,5.12
99,"Shatter Me (Shatter Me, #1)",fiction,,Tahereh Mafi,"Amazon Digital Services,  Inc.",2011,,,2.24
100,Starship Troopers, fiction,,Robert A. Heinlein,Hachette Book Group,1959,,,7.5
101,I've Got Your Number, fiction,,Sophie Kinsella,"Amazon Digital Services,  Inc.",2011,,,0.99
102,Sofies Verden, fiction,,"Jostein Gaarder, Paulette MÃ¸ller",Penguin Group (USA) LLC,1991,,,10.65
103,The Martian Chronicles, fiction,,Ray Bradbury,"Amazon Digital Services,  Inc.",1950,,,1.99
104,A Visit From the Goon Squad, fiction,,Jennifer Egan,Macmillan,2010,,,4.99
105,Heidi, fiction,,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Penguin Group (USA) LLC,1880,,,3.99
106,Prey, fiction,,Michael Crichton,"Amazon Digital Services,  Inc.",2002,,,1.99
107,The Last Battle, fiction,,C.S. Lewis,"Amazon Digital Services,  Inc.",1956,,,6.5
108,World Without End, fiction,,Ken Follett,Random House LLC,2007,,,0.99
109,Chosen: A House of Night Novel,fiction,,"P.C. Cast, Kristin Cast","Amazon Digital Services,  Inc.",2008,,,8.48
110,Slammed, fiction,,Colleen Hoover,"Amazon Digital Services,  Inc.",2012,,,0.99
111,"Beastly (Beastly, #1, Kendra Chronicles, #1)", fiction,,Alex Flinn,"Amazon Digital Services,  Inc.",2007,,,0.99
112,Tales of Caunterbury, fiction,,"Geoffrey Chaucer, Nevill Coghill","Amazon Digital Services,  Inc.",1390,,,0.99
113,Baby Proof,nonfiction,,Emily Giffin,Macmillan,2006,,,6.49
114,Inheritance,nonfiction,,Christopher Paolini,Random House LLC,2011,,,11.99
115,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon], fiction,,"Haruki Murakami, Jay Rubin, Philip Gabriel","Amazon Digital Services,  Inc.",2009,,,2.99
116,Uncle Tom's Cabin or Life Among the Lowly,fiction,,Harriet Beecher Stowe,HarperCollins Publishers,1852,,,1.99
117,Le FantÃ´me de l'OpÃ©ra, fiction,,"Gaston Leroux, Alexander Teixeira de Mattos","Amazon Digital Services,  Inc.",1909,,,3.99
118,"Definitely Dead (Sookie Stackhouse, #6)", fiction,,Charlaine Harris,Simon and Schuster Digital Sales Inc,2006,,,7.5
119,Ensaio Sobre a Cegueira, fiction,,"JosÃ© Saramago, Giovanni Pontiero","Amazon Digital Services,  Inc.",1995,,,3.99
120,Freedom, fiction,,Jonathan Franzen,Random House LLC,2010,,,7.99
121,Crossed, fiction,,Ally Condie,"Amazon Digital Services,  Inc.",2011,,,0.99
122,"I'd Tell You I Love You, But Then I'd Have to Kill You", fiction,,Ally Carter,Hachette Book Group,2006,,,11.99
123,The White Tiger, fiction,,Aravind Adiga,Random House LLC,2008,,,7.99
124,The Corrections, fiction,,Jonathan Franzen,"Amazon Digital Services,  Inc.",2001,,,0.99
125,Dreams from My Father,nonfiction,,Barack Obama,HarperCollins Publishers,1995,,,1.99
126,Congo,nonfiction,,Michael Crichton,Random House LLC,1980,,,6.99
127,"Alexander and the Terrible, Horrible, No Good, Very Bad Day", fiction,,"Judith Viorst, Ray Cruz","Amazon Digital Services,  Inc.",1972,,,2.99
128,Interpreter of Maladies, fiction,,Jhumpa Lahiri,Penguin Group (USA) LLC,1999,,,10.65
129,A People's History of the United States: 1492 to Present , fiction,,Howard Zinn,"Amazon Digital Services,  Inc.",1980,,,3.99
130,Breakfast at Tiffany's, fiction,,Truman Capote,"Amazon Digital Services,  Inc.",1958,,,0.99
131,The Passage, fiction,,Justin Cronin,"Amazon Digital Services,  Inc.",2010,,,3.99
132,Anansi Boys,nonfiction,,Neil Gaiman,"Amazon Digital Services,  Inc.",2005,,,1.99
133,Along for the Ride, fiction,,Sarah Dessen,Penguin Group (USA) LLC,2009,,,11.99
134,Everything I Never Told You, fiction,,Celeste Ng,"Amazon Digital Services,  Inc.",2014,,,3.99
135,La casa de los espÃ­ritus, fiction,,"Isabel Allende, Magda Bogin",Simon and Schuster Digital Sales Inc,1982,,,10.67
136,The Dead Zone, fiction,,Stephen King,HarperCollins Publishers,1979,,,1.99
137,The Mysterious Affair at Styles, fiction,,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…","Amazon Digital Services,  Inc.",1920,,,3.99
138,Murder in the Calais Coach, fiction,,Agatha Christie,"Amazon Digital Services,  Inc.",1934,,,4.99
139,Americanah, fiction,,Chimamanda Ngozi Adichie,"Amazon Digital Services,  Inc.",2013,,,3.99
140,Suzanne's Diary for Nicholas, fiction,,James Patterson,Random House LLC,2001,,,4.99
141,Firestarter, fiction,,Stephen King,Macmillan,1980,,,3.99
142,Entwined with You, fiction,,Sylvia Day,"Amazon Digital Services,  Inc.",2013,,,0.99
143,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen", fiction,,Christopher McDougall,"Amazon Digital Services,  Inc.",2009,,,4.99
144,The Storied Life of A.J. Fikry, fiction,,Gabrielle Zevin,Random House LLC,2014,,,7.51
145,Mad About Madeline, fiction,,Ludwig Bemelmans,"Amazon Digital Services,  Inc.",1939,,,0.99
146,Think and Grow Rich, fiction,,Napoleon Hill,"Amazon Digital Services,  Inc.",1937,,,0.99
147,Little House In The Big Woods, fiction,,"Laura Ingalls Wilder, Garth Williams","Amazon Digital Services,  Inc.",1932,,,0.99
148,Jonathan Strange & Mr Norrell, fiction,,Susanna Clarke,Hachette Book Group,2004,,,7.99
149,A Bend in the Road, fiction,,Nicholas Sparks,HarperCollins Publishers,2001,,,1.99
150,The House of Hades,nonfiction,,Rick Riordan,"Amazon Digital Services,  Inc.",2013,,,0.99
151,Gone, fiction,,Michael  Grant,"Amazon Digital Services,  Inc.",2008,,,5.49
152,The Wedding, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2003,,,0.99
153,1776, fiction,,David McCullough,Random House LLC,2005,,,11.84
154,Under the Banner of Heaven: A Story of Violent Faith, fiction,,Jon Krakauer,"Amazon Digital Services,  Inc.",2003,,,0.99
155,Beautiful Ruins, fiction,,Jess Walter,Random House LLC,2012,,,14.99
156,The Audacity of Hope: Thoughts on Reclaiming the American Dream, fiction,,Barack Obama,"Amazon Digital Services,  Inc.",2006,,,4.99
157,On Writing: A Memoir of the Craft, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1999,,,2.99
158,Firefly Lane, fiction,,Kristin Hannah,"Amazon Digital Services,  Inc.",2008,,,4.99
159,Sphere, fiction,,Michael Crichton,Random House LLC,1987,,,6.99
160,Love the One You're With, fiction,,Emily Giffin,Simon and Schuster Digital Sales Inc,2008,,,8.99
161,The Silkworm, fiction,,"Robert Galbraith, J.K. Rowling","Amazon Digital Services,  Inc.",2014,,,0.99
162,The Vampire Lestat, fiction,,Anne Rice,"Amazon Digital Services,  Inc.",1985,,,0.99
163,State of Wonder, fiction,,Ann Patchett,"Amazon Digital Services,  Inc.",2011,,,2
164,The Silver Linings Playbook, fiction,,Matthew Quick,"Amazon Digital Services,  Inc.",2008,,,0.99
165,Vingt Mille Lieues Sous les Mers, fiction,,"Jules Verne, Anthony Bonner","Amazon Digital Services,  Inc.",1869,,,5.95
166,The Constant Princess, fiction,,Philippa Gregory,Penguin Group (USA) LLC,2005,,,5.99
167,Mrs Dalloway, fiction,,"Virginia Woolf, Maureen Howard","Amazon Digital Services,  Inc.",1925,,,1.99
168,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann, fiction,,"Jonas Jonasson, Rod Bradbury",Macmillan,2009,,,8.89
169,Bag of Bones, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1998,,,0.99
170,The Cider House Rules, fiction,,John Irving,"Amazon Digital Services,  Inc.",1985,,,1.99
171,Thinner, fiction,,"Richard Bachman, Stephen King","Amazon Digital Services,  Inc.",1984,,,2.99
172,Le tour du monde en quatre-vingts jours, fiction,,"Jules Verne, Michael Glencross, Brian W. Aldiss",Penguin Group (USA) LLC,1872,,,7.99
173,Walk Two Moons,nonfiction,,Sharon Creech,"Amazon Digital Services,  Inc.",1994,,,0.99
174,Onze minutos, fiction,,"Paulo Coelho, Margaret Jull Costa","Amazon Digital Services,  Inc.",2003,,,0.99
175,Nine Stories, fiction,,J.D. Salinger,"Amazon Digital Services,  Inc.",1953,,,3.99
176,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",nonfiction,,Julie Powell,Random House LLC,2005,,,2.99
177,Unwind, fiction,,Neal Shusterman,Macmillan,2007,,,0.99
178,"Drums of Autumn (Outlander, #4)",nonfiction,,Diana Gabaldon,"Amazon Digital Services,  Inc.",1996,,,1.99
179,Prodigy, fiction,,Marie Lu,"Amazon Digital Services,  Inc.",2013,,,2.99
180,The Tragedie of King Lear, fiction,,William Shakespeare,"Amazon Digital Services,  Inc.",1603,,,3.99
181,Death of a Salesman, fiction,,Arthur Miller,Penguin Group (USA) LLC,1949,,,10.91
182,The Choice, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2007,,,2.99
183,The Sound and the Fury, fiction,,William Faulkner,Hachette Book Group,1929,,,4.99
184,A New Earth: Awakening to Your Life's Purpose, fiction,,Eckhart Tolle,"Amazon Digital Services,  Inc.",2005,,,0.99
185,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,fiction,,Tite Kubo,Penguin Group (USA) LLC,2002,,,5.34
186,The Shadow Rising ,nonfiction,,Robert Jordan,HarperCollins Publishing,1992,,,4.26
187,Shantaram, fiction,,Gregory David Roberts,"Amazon Digital Services,  Inc.",2003,,,0.99
188,From Dead to Worse, fiction,,Charlaine Harris,"Amazon Digital Services,  Inc.",2008,,,0.99
189,The Waste Lands, fiction,,"Stephen King, Ned Dameron","Amazon Digital Services,  Inc.",1991,,,2.99
190,The Bone Collector, fiction,,Jeffery Deaver,Random House LLC,1997,,,10.99
191,Der Vorleser, fiction,,"Bernhard Schlink, Carol Brown Janeway","Amazon Digital Services,  Inc.",1995,,,2.99
192,"Brown Bear, Brown Bear, What Do You See?", fiction,,"Bill Martin Jr., Eric Carle",Hachette Book Group,1967,,,4.99
193,Hyperion, fiction,,Dan Simmons,"Amazon Digital Services,  Inc.",1989,,,0.99
194,The Pearl of the World, fiction,,John Steinbeck,"Amazon Digital Services,  Inc.",1947,,,0.99
195,The Exorcist, fiction,,William Peter Blatty,"Amazon Digital Services,  Inc.",1971,,,2.99
196,The Short Second Life of Bree Tanner, fiction,,Stephenie Meyer,"Amazon Digital Services,  Inc.",2009,,,0.99
197,Snow Falling on Cedars, fiction,,David Guterson,"Amazon Digital Services,  Inc.",1994,,,2.99
198,Roots, fiction,,Alex Haley,Macmillan,1976,,,0.99
199,Batman: The Killing Joke , fiction,,"Alan Moore, Brian Bolland, Tim Sale",Random House LLC,1988,,,0.99
200,Invisible Man, fiction,,Ralph Ellison,"Amazon Digital Services,  Inc.",1952,,,0.99
201,A Long Way Gone. Memoirs of a Boy Soldier, fiction,,Ishmael Beah,"Amazon Digital Services,  Inc.",2007,,,7.99
202,Mrs. Frisby and the Rats of NIMH, fiction,,Robert C. O'Brien,"Amazon Digital Services,  Inc.",1971,,,3.99
203,Different Seasons, fiction,,Stephen King,Simon and Schuster Digital Sales Inc,1982,,,10.99
204,The Little House Collection, fiction,,"Laura Ingalls Wilder, Garth Williams",Random House LLC,1953,,,11.47
205,The Girls' Guide to Hunting and Fishing,nonfiction,,Melissa Bank,"Amazon Digital Services,  Inc.",1998,,,0.99
206,Wool Omnibus, fiction,,Hugh Howey,Penguin Group (USA) LLC,2012,,,4.99
207,"Lamb: The Gospel According to Biff, Christ's Childhood Pal", fiction,,Christopher Moore,Random House LLC,2002,,,10.65
208,The Power of Now, fiction,,Eckhart Tolle,Penguin Group (USA) LLC,1997,,,10.65
209,Let's Pretend This Never Happened (A Mostly True Memoir), fiction,,Jenny  Lawson,"Amazon Digital Services,  Inc.",2012,,,0.99
210,The Lies of Locke Lamora, fiction,,Scott Lynch,Simon and Schuster Digital Sales Inc,2006,,,2.99
211,Sabriel, fiction,,Garth Nix,Random House LLC,1995,,,19.98
212,Dead and Gone, fiction,,Charlaine Harris,Random House LLC,2009,,,4.99
213,The Storyteller, fiction,,Jodi Picoult,"Amazon Digital Services,  Inc.",2013,,,0.99
214,Obsidian, fiction,,Jennifer L. Armentrout,Penguin Group (USA) LLC,2011,,,11.99
215,"Life, the Universe and Everything", fiction,,Douglas Adams,Hachette Book Group,1982,,,5.99
216,Crown of Midnight, fiction,,Sarah J. Maas,"Amazon Digital Services,  Inc.",2013,,,0.99
217,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life", fiction,,Bryan Lee O'Malley,Random House LLC,2004,,,0.99
218,Half Broke Horses: A True Life Novel, fiction,,Jeannette Walls,Penguin Group (USA) LLC,2008,,,11.99
219,Mort, fiction,,Terry Pratchett,"Amazon Digital Services,  Inc.",1987,,,8.97
220,"The Iron King (The Iron Fey, #1) ", fiction,,Julie Kagawa,Macmillan,2010,,,0.99
221,Lonesome Dove, fiction,,Larry McMurtry,"Amazon Digital Services,  Inc.",1985,,,3.99
222,Stiff: The Curious Lives of Human Cadavers,nonfiction,,Mary Roach,Random House LLC,2003,,,10.65
223,Bloodlines, fiction,,Richelle Mead,Macmillan,2011,,,0.99
224,Ender's Shadow,nonfiction,,Orson Scott Card,"Amazon Digital Services,  Inc.",1998,,,0.99
225,Twenties Girl, fiction,,Sophie Kinsella,Random House LLC,2009,,,4.99
226,Schindler's Ark, fiction,,Thomas Keneally,"Amazon Digital Services,  Inc.",1982,,,6.19
227,The Bluest Eye, fiction,,Toni Morrison,"Amazon Digital Services,  Inc.",1970,,,2.99
228,The White Queen, fiction,,Philippa Gregory,"Amazon Digital Services,  Inc.",2009,,,4.13
229,The Autobiography of Malcolm X,nonfiction,,"Malcolm X, Alex Haley",Random House LLC,1965,,,4.99
230,Preludes & Nocturnes,nonfiction,,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger","Amazon Digital Services,  Inc.",1989,,,5.56
231,Seabiscuit, fiction,,Laura Hillenbrand,HarperCollins Publishers,1999,,,2.5
232,Shutter Island, fiction,,Dennis Lehane,Penguin Group (USA) LLC,2003,,,10.65
233,The Complete Sherlock Holmes, fiction,,Arthur Conan Doyle,Penguin Group (USA) LLC,1894,,,7.99
234,The Tragedy of Julius Caesar, fiction,,"William Shakespeare, Roma Gill","Amazon Digital Services,  Inc.",1599,,,0.99
235,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin", fiction,,Erik Larson,"Amazon Digital Services,  Inc.",2011,,,0.99
236,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±, fiction,,"Plato, Desmond Lee","Amazon Digital Services,  Inc.",-380,,,0.99
237,The Taming of the Shrew,nonfiction,,William Shakespeare,Hachette Book Group,1593,,,6.99
238,Cress,nonfiction,,Marissa Meyer,Macmillan,2014,,,2.99
239,Just Kids, fiction,,Patti Smith,Random House LLC,2010,,,1.99
240,Jemima J, fiction,,Jane Green,"Amazon Digital Services,  Inc.",2001,,,1.99
241,Notre-Dame de Paris,nonfiction,,"Victor Hugo, Walter J. Cobb","Amazon Digital Services,  Inc.",1831,,,7.91
242,A Fine Balance, fiction,,Rohinton Mistry,Simon and Schuster Digital Sales Inc,1996,,,2.99
243,Calvin and Hobbes,nonfiction,,"Bill Watterson, G.B. Trudeau",Penguin Group (USA) LLC,1987,,,4.99
244,Specials, fiction,,Scott Westerfeld,"Amazon Digital Services,  Inc.",2006,,,2.99
245,The Awakening, fiction,,Kate Chopin,"Amazon Digital Services,  Inc.",1899,,,0.99
246,Hunted, fiction,,"P.C. Cast, Kristin Cast",Random House LLC,2009,,,4.99
247,For One More Day, fiction,,Mitch Albom,"Amazon Digital Services,  Inc.",2006,,,3.99
248,Clear and Present Danger, fiction,,Tom Clancy,Hachette Book Group,1989,,,2.99
249,Falling Up, fiction,,Shel Silverstein,"Amazon Digital Services,  Inc.",1996,,,0.99
250,Sh*t My Dad Says,nonfiction,,Justin Halpern,Hachette Book Group,2010,,,7.5
251,Trainspotting, fiction,,"Irvine Welsh, Eric Lindor Fall",Random House LLC,1993,,,2.99
252,Foundation and Empire, fiction,,Isaac Asimov,"Amazon Digital Services,  Inc.",1952,,,2.99
253,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book", fiction,,Miguel Ruiz,Penguin Group (USA) LLC,1997,,,11.99
254,House Rules,nonfiction,,Jodi Picoult,HarperCollins Publishers,2010,,,11.19
255,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen, fiction,,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern","Amazon Digital Services,  Inc.",1812,,,4.99
256,From the Mixed-Up Files of Mrs. Basil E. Frankweiler, fiction,,E.L. Konigsburg,"Amazon Digital Services,  Inc.",1967,,,2.99
257,Doctor Sleep, fiction,,Stephen King,"Amazon Digital Services,  Inc.",2013,,,0.99
